Team	|	Lineup
CHA		|	('Gordon Hayward', 'P.J. Washington', 'Mark Williams', 'Terry Rozier', 'LaMelo Ball')
CHA		|	('Gordon Hayward', 'P.J. Washington', 'Mason Plumlee', 'Kelly Oubre Jr.', 'Terry Rozier')
CHA		|	('Gordon Hayward', 'P.J. Washington', 'Mason Plumlee', 'Kelly Oubre Jr.', 'Dennis Smith Jr.')
CHA		|	('Jalen McDaniels', 'P.J. Washington', 'Mason Plumlee', 'Kelly Oubre Jr.', 'Dennis Smith Jr.')
CHA		|	('Kelly Oubre Jr.', 'P.J. Washington', 'Mason Plumlee', 'Terry Rozier', 'Dennis Smith Jr.')
CHA		|	('Kelly Oubre Jr.', 'P.J. Washington', 'Mason Plumlee', 'Terry Rozier', 'LaMelo Ball')
CHA		|	('Jalen McDaniels', 'P.J. Washington', 'Mason Plumlee', 'Kelly Oubre Jr.', 'Terry Rozier')
CHA		|	('Jalen McDaniels', 'P.J. Washington', 'Mason Plumlee', 'Kelly Oubre Jr.', 'Theo Maledon')
CHA		|	('P.J. Washington', 'Jalen McDaniels', 'Mason Plumlee', 'Kelly Oubre Jr.', 'Terry Rozier')
CHA		|	('Gordon Hayward', 'Jalen McDaniels', 'Mason Plumlee', 'Terry Rozier', 'LaMelo Ball')
CHA		|	('Gordon Hayward', 'P.J. Washington', 'Mason Plumlee', 'Terry Rozier', 'LaMelo Ball')
CHA		|	('Gordon Hayward', 'P.J. Washington', 'Mason Plumlee', 'Kelly Oubre Jr.', 'LaMelo Ball')
CHA		|	('Jalen McDaniels', 'P.J. Washington', 'Mason Plumlee', 'Terry Rozier', 'LaMelo Ball')
CHA		|	('P.J. Washington', 'Jalen McDaniels', 'Mason Plumlee', 'Terry Rozier', 'LaMelo Ball')
CHA		|	('Jalen McDaniels', 'P.J. Washington', 'Mason Plumlee', 'Gordon Hayward', 'Terry Rozier')
CHA		|	('Jalen McDaniels', 'P.J. Washington', 'Mason Plumlee', 'Bryce McGowens', 'Terry Rozier')
CHA		|	('Gordon Hayward', 'P.J. Washington', 'Mark Williams', 'Dennis Smith Jr.', 'LaMelo Ball')
CHA		|	('Gordon Hayward', 'JT Thor', 'Mark Williams', 'Terry Rozier', 'LaMelo Ball')
CHA		|	('Gordon Hayward', 'JT Thor', 'Mark Williams', 'Kelly Oubre Jr.', 'Terry Rozier')
CHA		|	('Gordon Hayward', 'P.J. Washington', 'Mark Williams', 'Kelly Oubre Jr.', 'Terry Rozier')
CHA		|	('Gordon Hayward', 'P.J. Washington', 'Nick Richards', 'Kelly Oubre Jr.', 'Terry Rozier')
CHA		|	('Gordon Hayward', 'P.J. Washington', 'Nick Richards', 'Dennis Smith Jr.', 'Terry Rozier')
CHA		|	('Gordon Hayward', 'P.J. Washington', 'Nick Richards', 'Svi Mykhailiuk', 'Dennis Smith Jr.')
CHA		|	('Gordon Hayward', 'P.J. Washington', 'Mark Williams', 'Svi Mykhailiuk', 'Dennis Smith Jr.')
CHA		|	('Bryce McGowens', 'P.J. Washington', 'Nick Richards', 'Svi Mykhailiuk', 'Theo Maledon')
CHA		|	('Bryce McGowens', 'P.J. Washington', 'Mark Williams', 'Svi Mykhailiuk', 'Theo Maledon')
CHA		|	('Bryce McGowens', 'JT Thor', 'Mark Williams', 'Svi Mykhailiuk', 'Theo Maledon')
CHA		|	('Bryce McGowens', 'JT Thor', 'Nick Richards', 'Svi Mykhailiuk', 'Theo Maledon')
CHA		|	('Gordon Hayward', 'Miles Bridges', 'Mason Plumlee', 'Kelly Oubre Jr.', 'LaMelo Ball')
CHA		|	('Gordon Hayward', 'Miles Bridges', 'Mason Plumlee', 'Terry Rozier', 'LaMelo Ball')
CHA		|	('Gordon Hayward', 'Miles Bridges', 'P.J. Washington', 'Terry Rozier', 'LaMelo Ball')
CHA		|	('Gordon Hayward', 'Miles Bridges', 'Nick Richards', 'Terry Rozier', 'LaMelo Ball')
CHA		|	('Gordon Hayward', 'Miles Bridges', 'Nick Richards', 'Kelly Oubre Jr.', 'Ish Smith')
CHA		|	('Gordon Hayward', 'Miles Bridges', 'Nick Richards', 'Kelly Oubre Jr.', 'Cody Martin')
CHA		|	('Gordon Hayward', 'Miles Bridges', 'Vernon Carey Jr.', 'Kelly Oubre Jr.', 'Cody Martin')
