Player						|	St.	|	FB	|	FB%
Udoka Azubuike				|	3	|	0	|	0.0
Cedi Osman					|	2	|	0	|	0.0
Ricky Rubio					|	2	|	0	|	0.0
John Butler Jr.				|	1	|	0	|	0.0
Kris Dunn					|	3	|	0	|	0.0
Peyton Watson				|	3	|	0	|	0.0
Duncan Robinson				|	1	|	0	|	0.0
Georges Niang				|	1	|	0	|	0.0
Paul Reed					|	2	|	1	|	0.5
Jaden Springer				|	2	|	0	|	0.0
Goga Bitadze				|	1	|	1	|	1.0
Meyers Leonard				|	2	|	0	|	0.0
AJ Green					|	1	|	0	|	0.0
Lindell Wigginton			|	1	|	0	|	0.0
Ish Smith					|	1	|	0	|	0.0
Yuta Watanabe				|	1	|	0	|	0.0
Isaiah Todd					|	1	|	0	|	0.0
Xavier Cooks				|	1	|	0	|	0.0
Theo Pinson					|	1	|	0	|	0.0
Davis Bertans				|	1	|	0	|	0.0
Ousmane Dieng				|	1	|	0	|	0.0
Olivier Sarr				|	1	|	0	|	0.0
Jared Butler				|	1	|	0	|	0.0
Vince Williams Jr.			|	1	|	0	|	0.0
Kenneth Lofton Jr.			|	1	|	0	|	0.0
Saben Lee					|	1	|	0	|	0.0
